sequence,functional_domain,source_reference,title,source_scope,spec_path
66,consent-and-information-sharing,UC-ExternalClinician-Consent-11,View Participant Sharing Preferences,Scope - Information Sharing,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-11-view-participant-sharing-preferences/spec.md
67,consent-and-information-sharing,UC-ExternalClinician-Consent-12,Receive Notification of Consent Changes,Scope - Information Sharing,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-12-receive-notification-of-consent-changes/spec.md
68,consent-and-information-sharing,UC-ExternalClinician-Consent-13,Verify Representative Authority,Scope - Representative Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-13-verify-representative-authority/spec.md
69,consent-and-information-sharing,UC-ExternalClinician-Consent-14,Record Representative Consent,Scope - Representative Consent,openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-14-record-representative-consent/spec.md
70,consent-and-information-sharing,UC-ExternalClinician-Consent-15,Receive Consent Alerts,Scope - Clinical Decision Support (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-15-receive-consent-alerts/spec.md
71,consent-and-information-sharing,UC-ExternalClinician-Consent-16,Understand Access Decisions,Scope - Clinical Decision Support (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-16-understand-access-decisions/spec.md
72,consent-and-information-sharing,UC-ExternalClinician-Consent-17,Access Emergency Information,Scope - Clinical Decision Support (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-17-access-emergency-information/spec.md
73,consent-and-information-sharing,UC-ExternalClinician-Consent-18,Record Emergency Access,Scope - Clinical Decision Support (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-18-record-emergency-access/spec.md
74,consent-and-information-sharing,UC-ExternalClinician-Consent-19,Confirm Care Team Membership,Scope - Care Coordination (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-19-confirm-care-team-membership/spec.md
75,consent-and-information-sharing,UC-ExternalClinician-Consent-20,Request Ongoing Access,Scope - Care Coordination (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-20-request-ongoing-access/spec.md
76,consent-and-information-sharing,UC-ExternalClinician-Consent-21,End Care Team Participation,Scope - Care Coordination (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-21-end-care-team-participation/spec.md
77,consent-and-information-sharing,UC-ExternalClinician-Consent-22,View Consent Audit Information,Scope - Governance and Compliance (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-22-view-consent-audit-information/spec.md
78,consent-and-information-sharing,UC-ExternalClinician-Consent-23,Record Consent Discussions,Scope - Governance and Compliance (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-23-record-consent-discussions/spec.md
79,consent-and-information-sharing,UC-ExternalClinician-Consent-24,Confirm Organisational Authority,Scope - Governance and Compliance (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-24-confirm-organisational-authority/spec.md
80,consent-and-information-sharing,UC-ExternalClinician-Consent-25,Demonstrate Appropriate Access,Scope - Governance and Compliance (Consent),openspec/specs/consent-and-information-sharing/uc-externalclinician-consent-25-demonstrate-appropriate-access/spec.md
81,provider-management,UC-DepartmentalOfficer-ProviderDirectory-21,Audit Clinician Records,Scope – Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-21-audit-clinician-records/spec.md
82,provider-management,UC-DepartmentalOfficer-ProviderDirectory-22,Monitor Data Quality,Scope – Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-22-monitor-data-quality/spec.md
83,provider-management,UC-DepartmentalOfficer-ProviderDirectory-23,Merge Duplicate Clinician Records,Scope – Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-23-merge-duplicate-clinician-records/spec.md
84,provider-management,UC-DepartmentalOfficer-ProviderDirectory-24,Archive Clinician Records,Scope – Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-24-archive-clinician-records/spec.md
85,provider-management,UC-DepartmentalOfficer-ProviderDirectory-25,Generate Provider Directory Reports,Scope – Provider Directory,openspec/specs/provider-management/uc-departmentalofficer-providerdirectory-25-generate-provider-directory-reports/spec.md
86,provider-management,UC-Clinician-ProviderDirectorySearch-1,Search for a Provider by Clinical Need,Scope - Clinician Search (Provider Directory),openspec/specs/provider-management/uc-clinician-providerdirectorysearch-1-search-for-a-provider-by-clinical-need/spec.md
87,provider-management,UC-Clinician-ProviderDirectorySearch-2,Find a Specialist for Referral,Scope - Clinician Search (Provider Directory),openspec/specs/provider-management/uc-clinician-providerdirectorysearch-2-find-a-specialist-for-referral/spec.md
88,provider-management,UC-Clinician-ProviderDirectorySearch-3,Find an Allied Health Provider,Scope - Clinician Search (Provider Directory),openspec/specs/provider-management/uc-clinician-providerdirectorysearch-3-find-an-allied-health-provider/spec.md
89,provider-management,UC-Clinician-ProviderDirectorySearch-4,Search Providers by Specialty,Scope - Clinician Search (Provider Directory),openspec/specs/provider-management/uc-clinician-providerdirectorysearch-4-search-providers-by-specialty/spec.md
